พื้นที่,เนื้อที่ยืนต้นทั้งหมด,,,ผลผลิตที่เก็บเกี่ยวได้
,(ไร่),,,(กิโลกรัม)
,ให้ผลผลิต,ยังไม่ให้ผล,รวม (ไร่),
,,,,
ขนุนหนัง,4,0,4,"3,400.00"
พุทรา,28,10,38,"2,450.00"
มะนาว,12,3,15,"2,130.00"
มะม่วง,302,0,302,"34,305.00"
มะยงชิด,2,0,2,450
ไม้ยืนต้น,"1,026.00",322,"1,348.00","347,083.00"
มะพร้าว,254,18,272,"201,003.00"
ยูคาลิปตัส,737,269,"1,006.00","144,080.00"
อินทผาลัม,35,35,70,"2,000.00"
เกษตรสมบูรณ์,"15,291.00","2,303.00","17,594.00","1,598,158.50"
ไม้ผล,"3,705.00","1,071.00","4,776.00","803,508.00"
กล้วยน้ำว้า,635,151,786,"109,053.00"
เงาะ,46,0,46,"5,300.00"
มะขาม,12,0,12,"7,500.00"
มะนาว,31,30,61,"9,685.00"
มะม่วง,"1,862.00",236,"2,098.00","280,927.00"
ลำไย,279,2,281,"1,503.00"
ส้มโอ,840,652,"1,492.00","389,540.00"
ไม้ยืนต้น,"11,586.00","1,232.00","12,818.00","794,650.50"
ปาล์มน้ำมัน,"1,200.00",0,"1,200.00","681,200.00"
ยางพารา,"9,773.00","1,027.00","10,800.00","109,249.50"
ยูคาลิปตัส,572,187,759,170
ไม้สัก,10,10,20,0
ไผ่,31,8,39,"4,031.00"
หนองบัวแดง,"18,524.00","7,222.00","25,746.00","4,781,120.00"
ไม้ผล,"11,447.00","4,229.00","15,676.00","527,000.00"
กล้วยน้ำว้า,805,0,805,"246,000.00"
กล้วยหอม,350,0,350,"107,000.00"
ขนุนหนัง,15,0,15,0
เงาะ,49,0,49,0
ทุเรียน,0,40,40,0
ฝรั่ง,117,6,123,"6,400.00"
มะขาม,183,0,183,200
มะนาว,27,0,27,"1,400.00"
มะม่วง,"9,601.00","4,000.00","13,601.00","143,500.00"
มะละกอ,30,0,30,"12,500.00"
ลำไย,99,5,104,"4,000.00"
ส้มโอ,3,103,106,0
เสาวรส,10,20,30,"1,500.00"
แก้วมังกร,158,55,213,"4,500.00"
ไม้ยืนต้น,"7,077.00","2,993.00","10,070.00","4,254,120.00"
ปาล์มน้ำมัน,524,233,757,"3,043,200.00"
ยางพารา,"6,011.00","2,660.00","8,671.00","1,040,220.00"
ไผ่,279,10,289,"104,700.00"
หม่อน,252,90,342,"66,000.00"
ผักหวานป่า,11,0,11,0
จัตุรัส,661,347,"1,008.00",0
ไม้ผล,476,132,608,0
กล้วยน้ำว้า,40,40,80,0
มะขาม,26,17,43,0
มะนาว,10,40,50,0
มะม่วง,400,35,435,0
ไม้ยืนต้น,185,215,400,0
มะพร้าว,20,50,70,0
ยางพารา,115,165,280,0
ยูคาลิปตัส,50,0,50,0
บำเหน็จณรงค์,0,24,24,0
ไม้ยืนต้น,0,24,24,0
ยางพารา,0,9,9,0
มะพร้าวตัดยอด,0,15,15,0
หนองบัวระเหว,"1,447.00","2,786.00","4,233.00","2,500.00"
ไม้ผล,440,333,773,"2,500.00"
กล้วยน้ำว้า,198,5,203,"1,000.00"
กล้วยหอม,20,10,30,0
ขนุนหนัง,0,15,15,0
เงาะ,10,5,15,0
ฝรั่ง,13,5,18,500
มะขาม,40,8,48,"1,000.00"
มะนาว,8,8,16,0
มะม่วง,146,253,399,0
มะยงชิด,0,5,5,0
ลำไย,5,16,21,0
ลิ้นจี่,0,3,3,0
ไม้ยืนต้น,"1,007.00","2,448.00","3,455.00",0
กาแฟ,0,6,6,0
ปาล์มน้ำมัน,0,75,75,0
มะคาเดเมีย,5,2,7,0
มะพร้าว,0,10,10,0
ยางพารา,942,"2,099.00","3,041.00",0
ยูคาลิปตัส,60,256,316,0
สมุนไพรและเครื่องเทศ (รต.02),0,5,5,0
พริกไทย,0,5,5,0
เทพสถิต,"5,767.00","7,646.00","13,413.00",0
ไม้ผล,100,"2,182.00","2,282.00",0
กล้วยน้ำว้า,0,320,320,0
ทุเรียน,100,80,180,0
ฝรั่ง,0,299,299,0
มะม่วง,0,200,200,0
ลำไย,0,"1,283.00","1,283.00",0
ไม้ยืนต้น,"5,667.00","5,464.00","11,131.00",0
ปาล์มน้ำมัน,10,116,126,0
ยางพารา,"5,657.00","5,348.00","11,005.00",0
ภูเขียว,"4,162.00","8,598.00","12,760.00","961,420.00"
ไม้ผล,"1,457.00","1,970.00","3,427.00","961,420.00"
กล้วยน้ำว้า,591,358,949,"463,520.00"
ขนุนหนัง,10,0,10,0
น้อยหน่า,38,0,38,"15,000.00"
ฝรั่ง,2,16,18,400
มะขาม,10,10,20,0
มะนาว,20,47,67,"7,500.00"
มะม่วง,669,"1,412.00","2,081.00","292,000.00"
มะละกอ,104,117,221,"183,000.00"
ส้มโอ,13,10,23,0
ไม้ยืนต้น,"2,705.00","6,628.00","9,333.00",0
ปาล์มน้ำมัน,189,218,407,0
มะพร้าว,34,0,34,0
ยางพารา,"2,436.00","5,596.00","8,032.00",0
ยูคาลิปตัส,5,541,546,0
ไม้สัก,0,267,267,0
ไผ่,35,0,35,0
ผักหวานป่า,6,6,12,0
บ้านแท่น,"3,214.25","2,283.75","5,498.00","773,874.88"
ไม้ผล,"1,332.00","1,830.00","3,162.00","496,415.00"
กล้วยน้ำว้า,563,12,575,"338,300.00"
มะม่วง,212,0,212,"100,155.00"
ส้มโอ,557,"1,818.00","2,375.00","57,960.00"
ไม้ยืนต้น,"1,882.25",453.75,"2,336.00","277,459.88"
กาแฟ,8,0,8,0
ปาล์มน้ำมัน,42,36,78,"9,500.00"
มะพร้าว,18,0,18,"6,600.00"
ยางพารา,803.25,290.75,"1,094.00","13,499.88"
ยูคาลิปตัส,708,127,835,0
หม่อน,303,0,303,"247,860.00"
แก้งคร้อ,"3,047.00","4,041.75","7,088.75","27,500.00"
ไม้ผล,326,503,829,"27,500.00"
กล้วยน้ำว้า,4,0,4,"2,000.00"
กล้วยหอม,5,0,5,"2,500.00"
ขนุนหนัง,0,10,10,0
ทุเรียน,29,136,165,0
มะนาว,10,0,10,0
มะไฟ,0,110,110,0
มะม่วง,51,36,87,"23,000.00"
ลำไย,50,161,211,0
แก้วมังกร,177,50,227,0
ไม้ยืนต้น,"2,721.00","3,538.75","6,259.75",0
ยางพารา,"2,521.00","3,368.75","5,889.75",0
ยูคาลิปตัส,200,170,370,0
คอนสาร,"22,173.70","12,272.72","34,446.42","16,675,202.75"
ไม้ผล,"1,321.25",500.25,"1,821.50","1,448,250.00"
กล้วยน้ำว้า,365,117,482,"873,100.00"
กล้วยหอม,0,15,15,0
ขนุนหนัง,8,4,12,"14,400.00"
ทุเรียน,5,10,15,0
น้อยหน่า,0,10,10,0
ฝรั่ง,23,26,49,0
มะขาม,566,51,617,"438,750.00"
มะนาว,12.75,25,37.75,"35,700.00"
มะม่วง,206.25,136.75,343,"50,500.00"
มะละกอ,90,60,150,"7,800.00"
ลำไย,22.25,25,47.25,0
สตรอเบอรี่,0,0.5,0.5,0
ส้มโอ,23,20,43,"28,000.00"
ไม้ยืนต้น,"20,452.45","11,672.47","32,124.92","15,226,952.75"
ปาล์มน้ำมัน,394.5,593,987.5,"1,185,000.00"
มะพร้าว,158,25,183,0
ยางพารา,"18,098.20","9,509.47","27,607.67","14,041,952.75"
ยูคาลิปตัส,80,22,102,0
ไม้สัก,115,72,187,0
หมาก,"1,395.00","1,235.00","2,630.00",0
ไผ่,10,10,20,0
หม่อน,201.75,206,407.75,0
สมุนไพรและเครื่องเทศ (รต.02),400,100,500,0
พลู,400,100,500,0
ภักดีชุมพล,"19,650.13","9,229.13","28,879.26","8,903,713.03"
ไม้ผล,"13,252.13","8,405.13","21,657.26","7,136,165.00"
กระท้อน,15,0,15,0
กล้วยหอม,676,126,802,"211,500.00"
ขนุนหนัง,7,0,7,0
เงาะ,0,45,45,0
ทุเรียน,0,68,68,0
ฝรั่ง,395,65,460,"197,500.00"
มะขาม,"11,761.13","8,010.13","19,771.26","6,727,165.00"
มะม่วง,100,10,110,0
มะยงชิด,0,63,63,0
ลำไย,283,0,283,0
แก้วมังกร,15,18,33,0
ไม้ยืนต้น,"6,398.00",824,"7,222.00","1,767,548.03"
มะพร้าว,39,10,49,0
ยางพารา,"6,227.00",316,"6,543.00","1,754,748.03"
ไม้สัก,4,98,102,0
ไผ่,0,300,300,0
ผักหวานป่า,128,100,228,"12,800.00"
เนินสง่า,678,851,"1,529.00",840
ไม้ผล,525,606,"1,131.00",0
กล้วยน้ำว้า,0,337,337,0
น้อยหน่า,0,3,3,0
ฝรั่ง,0,3,3,0
พุทรา,2,4,6,0
มะขามเทศ,0,50,50,0
มะนาว,0,4,4,0
มะม่วง,487,205,692,0
แก้วมังกร,5,0,5,0
ไม้ผลอื่นๆ,31,0,31,0
ไม้ยืนต้น,153,245,398,840
ยางพารา,128,245,373,840
หม่อน,25,0,25,0
ซับใหญ่,762,508,"1,270.00","76,646.00"
ไม้ผล,669,114,783,"73,606.00"
กล้วยน้ำว้า,669,114,783,"73,606.00"
ไม้ยืนต้น,93,394,487,"3,040.00"
ยางพารา,93,394,487,"3,040.00"
ชุมพร,"1,823,415.35","410,765.75","2,234,181.10","1,972,102,861.80"
เมืองชุมพร,"355,307.00","50,104.00","405,411.00","328,924,684.00"
ไม้ผล,"62,818.00","11,113.00","73,931.00","57,677,277.00"
กล้วยไข่,301,41,342,"307,836.00"
กล้วยน้ำว้า,510,0,510,"552,560.00"
กล้วยหอม,"4,706.00",103,"4,809.00","11,846,005.00"
เงาะ,247,0,247,"70,690.00"
ทุเรียน,"49,233.00","9,016.00","58,249.00","42,182,720.00"
มะนาว,37,19,56,"26,860.00"
มะละกอ,3,84,87,"26,850.00"
มังคุด,"3,429.00","1,017.00","4,446.00","1,073,956.00"
ลองกอง,"3,544.00",706,"4,250.00","1,020,445.00"
สละ,222,127,349,"242,100.00"
ส้มเขียวหวาน,70,0,70,"110,000.00"
ส้มโอ,23,0,23,"6,050.00"
กล้วยเล็บมือนาง,493,0,493,"211,205.00"
ไม้ยืนต้น,"292,489.00","38,991.00","331,480.00","271,247,407.00"
กาแฟ,"4,010.00",712,"4,722.00","50,380.00"
ปาล์มน้ำมัน,"166,793.00","16,043.00","182,836.00","243,659,634.00"
มะพร้าว,"52,433.00","2,684.00","55,117.00","12,130,641.00"
ยางพารา,"66,431.00","19,123.00","85,554.00","10,616,274.00"
สะตอ,185,0,185,"7,430.00"
หมาก,"2,632.00",424,"3,056.00","4,781,998.00"
ผักเหลียง(ผักเหมียง),5,5,10,"1,050.00"
ท่าแซะ,"362,330.00","93,062.00","455,392.00","500,709,947.50"
ไม้ผล,"30,772.00","22,701.00","53,473.00","22,656,505.00"
กล้วยน้ำว้า,743,70,813,"1,023,410.00"
กล้วยหอม,70,20,90,"49,900.00"
เงาะ,268,48,316,"334,370.00"
ทุเรียน,"22,544.00","20,130.00","42,674.00","12,764,410.00"
มะนาว,70,90,160,"94,300.00"
มะละกอ,924,199,"1,123.00","4,270,100.00"
มังคุด,"1,150.00","1,273.00","2,423.00","751,725.00"
ลองกอง,"1,043.00",284,"1,327.00","547,740.00"
กล้วยเล็บมือนาง,"3,960.00",587,"4,547.00","2,820,550.00"
ไม้ยืนต้น,"331,558.00","70,361.00","401,919.00","478,053,442.50"
กาแฟ,"58,349.00","2,796.00","61,145.00","10,831,055.00"
ปาล์มน้ำมัน,"195,985.00","19,622.00","215,607.00","454,255,460.00"
มะพร้าว,"3,332.00",252,"3,584.00","1,311,970.00"
ยางพารา,"71,114.00","46,487.00","117,601.00","10,173,407.50"
สะตอ,37,10,47,"61,700.00"
หมาก,"2,729.00","1,194.00","3,923.00","1,417,850.00"
ผักเหลียง(ผักเหมียง),12,0,12,"2,000.00"
ปะทิว,"313,958.00","80,594.00","394,552.00","395,356,097.00"
ไม้ผล,"4,563.00","1,914.00","6,477.00","11,733,473.00"
ทุเรียน,"3,408.00","1,844.00","5,252.00","9,581,520.00"
มะละกอ,142,60,202,"819,045.00"
มังคุด,251,0,251,"655,208.00"
ลองกอง,589,0,589,"522,900.00"
แก้วมังกร,0,10,10,0
กล้วยเล็บมือนาง,173,0,173,"154,800.00"
ไม้ยืนต้น,"309,395.00","78,680.00","388,075.00","383,622,624.00"
กาแฟ,418,10,428,"23,845.00"
ปาล์มน้ำมัน,"156,080.00","11,928.00","168,008.00","355,382,917.00"
มะพร้าว,"3,275.00",40,"3,315.00","1,327,961.00"
ยางพารา,"149,622.00","66,702.00","216,324.00","26,887,901.00"
หลังสวน,"198,806.60",217,"199,023.60","196,909,161.50"
ไม้ผล,"39,680.20",1,"39,681.20","21,307,490.50"
เงาะ,488.7,0,488.7,"124,687.00"
ทุเรียน,"20,630.00",0,"20,630.00","11,357,386.00"
มะนาว,1,0,1,0
มังคุด,"16,980.00",1,"16,981.00","8,310,025.00"
ลองกอง,836,0,836,"307,835.00"
ส้มโอ,53,0,53,"17,690.00"
กล้วยเล็บมือนาง,691.5,0,691.5,"1,189,867.50"
ไม้ยืนต้น,"159,126.40",216,"159,342.40","175,601,671.00"
ปาล์มน้ำมัน,"80,015.00",116,"80,131.00","154,238,043.00"
มะพร้าว,"21,441.00",0,"21,441.00","7,613,760.00"
ยางพารา,"57,312.00",100,"57,412.00","13,366,804.00"
สะตอ,49.27,0,49.27,"13,250.00"
หมาก,309.13,0,309.13,"369,814.00"
ละแม,"124,094.75","11,468.75","135,563.50","166,399,019.08"
ไม้ผล,"5,993.25",783.25,"6,776.50","7,033,858.50"
กล้วยหอม,536,32,568,"611,174.00"
เงาะ,113,2,115,"40,683.00"
ทุเรียน,"2,749.00",261,"3,010.00","4,323,690.00"
มะนาว,1.25,1.25,2.5,301.5
มะละกอ,12,0,12,"28,008.00"
มังคุด,"1,723.00",205,"1,928.00","1,276,767.00"
ลองกอง,800,267,"1,067.00","722,900.00"
กล้วยเล็บมือนาง,59,15,74,"30,335.00"
ไม้ยืนต้น,"118,101.50","10,662.50","128,764.00","159,365,160.58"
กาแฟ,3,75,78,0
ปาล์มน้ำมัน,"57,893.75","5,298.00","63,191.75","148,682,694.25"
มะพร้าว,"1,544.00",480,"2,024.00","802,317.08"
ยางพารา,"58,660.75","4,809.50","63,470.25","9,880,149.25"
สมุนไพรและเครื่องเทศ (รต.02),0,23,23,0
พริกไทย,0,23,23,0
พะโต๊ะ,"116,193.00","48,099.00","164,292.00","98,347,328.72"
ไม้ผล,"41,271.00","7,889.00","49,160.00","37,842,649.07"
กล้วยไข่,50,0,50,"140,572.00"
กล้วยน้ำว้า,180,520,700,"142,820.00"
กล้วยหอม,265,147,412,"654,350.00"
เงาะ,"1,657.00",20,"1,677.00","1,184,100.00"
ทุเรียน,"14,700.00","4,356.00","19,056.00","15,428,580.02"
มะละกอ,858,0,858,"557,643.05"
มังคุด,"13,836.00","1,276.00","15,112.00","15,638,200.00"
ลองกอง,"8,285.00",978,"9,263.00","3,232,000.00"
ส้มเขียวหวาน,85,42,127,"202,924.00"
กล้วยเล็บมือนาง,"1,355.00",550,"1,905.00","661,460.00"
ไม้ยืนต้น,"74,922.00","40,210.00","115,132.00","60,504,679.65"
กาแฟ,"16,929.00","1,212.00","18,141.00","1,535,990.00"
ปาล์มน้ำมัน,"43,169.00","12,143.00","55,312.00","57,600,300.15"
มะพร้าว,331,10,341,"50,920.00"
ยางพารา,"14,455.00","26,845.00","41,300.00","1,304,469.50"
สะตอ,38,0,38,"13,000.00"
สวี,"236,496.00","113,367.00","349,863.00","194,697,820.00"
ไม้ผล,"45,940.00","7,675.00","53,615.00","25,992,246.00"
กล้วยไข่,"1,490.00",30,"1,520.00","1,875,500.00"
กล้วยน้ำว้า,166,0,166,"218,870.00"
กล้วยหอม,"2,092.00",50,"2,142.00","6,584,766.00"
เงาะ,293,2,295,"65,400.00"
ทุเรียน,"25,908.00","7,192.00","33,100.00","11,448,180.00"
มะละกอ,10,10,20,"108,500.00"
มังคุด,"5,529.00",132,"5,661.00","1,633,160.00"
ลองกอง,"9,154.00",192,"9,346.00","2,078,600.00"
กล้วยเล็บมือนาง,"1,298.00",67,"1,365.00","1,979,270.00"
ไม้ยืนต้น,"190,556.00","105,692.00","296,248.00","168,705,574.00"
กาแฟ,"14,788.00",90,"14,878.00","1,066,660.00"
ปาล์มน้ำมัน,"80,716.00","39,983.00","120,699.00","139,670,591.00"
มะพร้าว,"29,551.00",140,"29,691.00","10,377,212.00"
ยางพารา,"62,362.00","65,289.00","127,651.00","16,157,711.00"
สะตอ,"1,408.00",90,"1,498.00","305,000.00"
หมาก,"1,731.00",100,"1,831.00","1,128,400.00"
ทุ่งตะโก,"116,230.00","13,854.00","130,084.00","90,758,804.00"
ไม้ผล,"27,156.00","3,543.00","30,699.00","25,432,456.00"
เงาะ,333,0,333,"110,460.00"
ทุเรียน,"18,505.00","3,163.00","21,668.00","18,962,790.00"
มะนาว,21,0,21,"3,236.00"
มะละกอ,0,20,20,0
มังคุด,"5,723.00",270,"5,993.00","4,702,350.00"
ลองกอง,"1,763.00",0,"1,763.00","934,020.00"
ส้มโอ,118,80,198,"44,500.00"
กล้วยเล็บมือนาง,693,10,703,"675,100.00"
ไม้ยืนต้น,"89,074.00","10,311.00","99,385.00","65,326,348.00"
กาแฟ,911,0,911,"82,835.00"
ปาล์มน้ำมัน,"36,334.00",731,"37,065.00","57,225,021.00"
มะพร้าว,"6,945.00",14,"6,959.00","918,380.00"
ยางพารา,"44,323.00","9,566.00","53,889.00","6,999,371.00"
สะตอ,331,0,331,"100,741.00"
หมาก,230,0,230,0
เชียงราย,"596,660.89","254,842.95","851,503.84","279,013,872.82"
เมืองเชียงราย,"61,835.00","13,307.00","75,142.00","14,966,266.33"
ไม้ผล,"19,585.00","6,554.00","26,139.00","1,392,390.00"
กระท้อน,"2,008.00",80,"2,088.00","86,650.00"
กล้วยไข่,6,0,6,"13,900.00"
กล้วยน้ำว้า,"1,081.00",79,"1,160.00","93,500.00"
กล้วยหอม,242,0,242,"132,440.00"
เงาะ,127,505,632,"52,700.00"
ท้อ,277,0,277,0
พุทรา,0,0,0,0
มะขาม,198,0,198,"79,200.00"
มะนาว,3,0,3,"4,500.00"
มะม่วง,672,3,675,"3,000.00"
ลำไย,"12,240.00",666,"12,906.00","207,280.00"
